Nov 15	484
Dec 15	487
Jan 16	489
Feb 16	486
Mar 16	490
Apr 16	495
May 16	493
Jun 16	493
Jul 16	496
Aug 16	494
Sep 16	495
Oct 16	497
Nov 16	498
Dec 16	496
Jan 17	497
Feb 17	499
Mar 17	501
Apr 17	502
May 17	503
Jun 17	508
Jul 17	504
Aug 17	507
Sep 17	509
Oct 17	509
Nov 17	510
Dec 17	512
Jan 18	510
Feb 18	513
Mar 18	513
Apr 18	515
May 18	516
Jun 18	519
Jul 18	521
Aug 18	523
Sep 18	523
Oct 18	530
Nov 18	526
Dec 18	528
Jan 19	530
Feb 19	531
Mar 19	525
Apr 19	534
May 19	537
Jun 19	540
Jul 19	542
Aug 19	541
Sep 19	544
Oct 19	543
Nov 19	542
Dec 19	542
Jan 20	546
Feb 20	546
Mar 20	529
Apr 20	529
May 20	532
Jun 20	532
Jul 20	541
Aug 20	552
Sep 20	558
Oct 20	563
Nov 20	568
Dec 20	570
Jan 21	570
Feb 21	567
Mar 21	552
Apr 21	576
May 21	581
Jun 21	577
Jul 21	581
Aug 21	584
Sep 21	586
Oct 21	588
Nov 21	587
Dec 21	603
Jan 22	599
Feb 22	600
Mar 22	608
Apr 22	604
May 22	606
Jun 22	613
Jul 22	614
Aug 22	619
Sep 22	621
Oct 22	627
Nov 22	631
Dec 22	633
Jan 23	637
Feb 23	641
Mar 23	643
Apr 23	650
May 23	654
Jun 23	668
Jul 23	663
Aug 23	664
Sep 23	670
Oct 23	664
Nov 23	666
Dec 23	670
Jan 24	672
Feb 24	679
Mar 24	684
Apr 24	686
May 24	687
Jun 24	689
Jul 24	690
Aug 24	694
Sep 24	700
Oct 24	706
